"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 25 19:10:12 UTC 2026","Tue Aug 25 19:10:12 UTC 2026","725","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.MasterApiTest","com.api.tests.MasterApiTest","verifyMasterApiResponse","Verify the master api is properly generating response","Verify the master api response"
"broken","Tue Aug 25 19:10:13 UTC 2026","Tue Aug 25 19:10:14 UTC 2026","676","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CreateJobApiWithDBValidationTest","com.api.tests.CreateJobApiWithDBValidationTest","createJobApiTest","Verify the create job api is creating job properly and perform DB validation","Verify the create job api response and also DB data"
"passed","Tue Aug 25 19:10:12 UTC 2026","Tue Aug 25 19:10:13 UTC 2026","594","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CreateJobApiTest","com.api.tests.CreateJobApiTest","createJobApiTest","Verify the create job api is creating job properly","Verify the create job api response"
"passed","Tue Aug 25 19:10:11 UTC 2026","Tue Aug 25 19:10:12 UTC 2026","571","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CountApiTest","com.api.tests.CountApiTest","verifyCountApiResponseWithoutToken","Verify the create count api reponse is properly without token","Verify the count job api response without token"
"passed","Tue Aug 25 19:10:10 UTC 2026","Tue Aug 25 19:10:11 UTC 2026","611","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.CountApiTest","com.api.tests.CountApiTest","verifyCountApiResponse","Verify the create count api reponse is completely valid","Verify the count job api response"
"passed","Tue Aug 25 19:10:09 UTC 2026","Tue Aug 25 19:10:10 UTC 2026","1101","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.UserDetailsApiTest","com.api.tests.UserDetailsApiTest","userDetailsApiTest","Verify the user details api response is completely valid as expectec","Verify the user details api response"
"passed","Tue Aug 25 19:10:07 UTC 2026","Tue Aug 25 19:10:09 UTC 2026","2540","ApiTestAutomationSuite","Inwarranty flow Test","com.api.tests.LoginApiTest","com.api.tests.LoginApiTest","loginAPITest","Verify the login api response is completely valid","Execute loginAPITest with valid user credentials"
